,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
78,musket_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,10500,3297,1313,18,842,0,0,15970,21556,1171660,2417,59,2058,0,0,0,1197750,Musket,2,75,0.899178242189,0.912848310324,0.81333166479,0.996214568984,TRA,0.0,
79,racer_TRA.rep.seq_sim_rl_50_cov_1_1_405000.corrected.fastq.gz,run.racer.sh,18,942,631,113,0,22,2,1,1710,1518,83694,169,2,108,14,4,0,85509,Racer,1,50,0.899822169532,0.925609756098,0.827504445762,0.996526681402,TRA,4.67787016571e-05,0.0
81,coral_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,7701,8686,7367,3,274,189,7,24220,11516,1186541,12595,6,335,199,4,3,1211199,Coral,2,50,0.477624320849,0.955684647303,0.455476753349,0.989152044756,TRA,5.77939710981e-06,0.75
83,fiona_TRA.rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,1724,6368,0,0,0,0,8092,0,594640,12260,0,0,0,0,0,606900,Fiona,1,50,0.0,,0.0,0.979798978415,TRA,0.0,
85,bless_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.bless.sh,18,8943,2086,741,3,268,57,1283,12098,21213,1142655,1300,41,1411,623,41225,1496,1209964,Bless,2,100,0.942255585662,0.912504839334,0.851907786612,0.963093768308,TRA,0.0353076620461,0.0362886597938
87,pollux_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,9992,3260,1584,38,601,477,8,15952,20938,1170257,2927,119,1682,728,9,0,1196660,Pollux,2,75,0.877351770375,0.896779167381,0.776367064739,0.99543312219,TRA,7.52093326425e-06,0.0
89,bless_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.bless.sh,18,22832,7778,1172,4,528,54,1792,32368,44729,2335837,1900,64,2520,572,40343,1729,2427694,Bless,4,75,0.959252825495,0.935342213672,0.892942160458,0.981286209818,TRA,0.0173300259423,0.0428574969635
91,reckoner_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.reckoner.sh,18,1876,1332,415,4,42,10,5,3679,2960,180007,693,13,226,81,22,0,184002,Reckoner,1,50,0.810292909937,0.906029996939,0.726252395292,0.994375061141,TRA,0.000119563917784,0.0
92,coral_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,16256,2985,4043,8,502,426,23,24220,38697,2372352,9840,19,1014,478,18,6,2422424,Coral,4,100,0.797268063539,0.96287541367,0.766528627645,0.995306755482,TRA,9.90743156442e-06,0.333333333333
93,lighter_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.lighter.sh,18,0,1724,6368,0,0,0,0,8092,0,594640,12260,0,0,0,0,0,606900,Lighter,1,75,0.0,,0.0,0.979798978415,TRA,0.0,
96,racer_TRA.rep.seq_sim_rl_75_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,8522,3421,3662,4,294,67,22,15970,19086,1171287,4906,38,2027,696,126,2,1198168,Racer,2,50,0.795515171724,0.875143289468,0.682019006335,0.99349589289,TRA,0.0001068297601,0.015873015873
97,sga_TRA.rep.seq_sim_rl_50_cov_1_1_18.corrected.fastq.gz,run.sga.sh,18,5185,4346,2437,3,122,5,3,12098,8425,592408,3627,14,414,16,8,0,604912,Sga,1,50,0.699054098905,0.951439864483,0.663375373382,0.993256870421,TRA,1.32250641416e-05,0.0
98,fiona_TRA.rep.seq_sim_rl_50_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,8839,15381,0,0,0,0,24220,0,1186880,24120,0,0,0,0,0,1211000,Fiona,2,50,0.0,,0.0,0.980082576383,TRA,0.0,
99,coral_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.coral.sh,18,7503,1497,2082,3,153,860,7,12098,19067,1185476,4974,6,236,908,6,3,1210676,Coral,2,100,0.793103448276,0.943397159962,0.745518073291,0.994936700496,TRA,7.43386339533e-06,0.5
100,musket_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.musket.sh,18,4746,1599,1169,11,567,0,0,8092,10048,593288,2181,31,1352,0,0,0,606900,Musket,1,75,0.821653446725,0.881403508772,0.711096573718,0.994127533366,TRA,0.0,
103,reckoner_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.reckoner.sh,18,7807,3438,4515,33,141,36,11,15970,16239,1172534,7736,57,987,351,49,0,1197953,Reckoner,2,75,0.677330552659,0.923877794846,0.621522419187,0.992336928076,TRA,4.09031072171e-05,0.0
105,fiona_TRA.rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.fiona.sh,18,7938,3096,12352,417,339,78,35,24220,30191,2372660,17893,473,672,125,33,5,2422052,Fiona,4,50,0.627880376009,0.974280366594,0.611305215872,0.992074472543,TRA,1.56891759549e-05,0.151515151515
106,bless_TRA.rep.seq_sim_rl_50_cov_4_1_18.corrected.fastq.gz,run.bless.sh,18,27361,18076,2055,13,768,61,3061,48334,43227,2328336,3361,80,3491,286,36021,2068,2416870,Bless,4,50,0.927856958874,0.919645136584,0.84678457972,0.982094184119,TRA,0.0157596395338,0.0574109547209
108,coral_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.coral.sh,18,18713,6740,5010,7,439,1459,22,32368,37701,2377574,10700,16,1574,2356,20,5,2429946,Coral,4,75,0.778930187393,0.905599192909,0.697733517903,0.993964462512,TRA,1.02882944724e-05,0.25
109,sga_TRA.rep.seq_sim_rl_75_cov_2_1_18.corrected.fastq.gz,run.sga.sh,18,5613,3444,6764,3,144,2,0,15970,12569,1173256,11453,10,455,14,0,0,1197757,Sga,2,75,0.523228707019,0.964028225188,0.503704937141,0.990038046115,TRA,0.0,
110,fiona_TRA.rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.fiona.sh,18,0,1645,10453,0,0,0,0,12098,0,1185750,24050,0,0,0,0,0,1209800,Fiona,2,50,0.0,,0.0,0.980120681104,TRA,0.0,
111,lighter_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.lighter.sh,18,0,3105,21115,0,0,0,0,24220,0,2373438,48562,0,0,0,0,0,2422000,Lighter,4,100,0.0,,0.0,0.979949628406,TRA,0.0,
112,lighter_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,1645,10453,0,0,0,0,12098,0,1185750,24050,0,0,0,0,0,1209800,Lighter,2,100,0.0,,0.0,0.980120681104,TRA,0.0,
113,fiona_TRA.rep.seq_sim_rl_75_cov_4_1_405000.corrected.fastq.gz,run.fiona.sh,18,8561,7152,16127,77,379,72,43,32368,26389,2378323,21902,128,753,121,43,3,2427662,Fiona,4,50,0.54645793212,0.967941899277,0.528359321613,0.990547684003,TRA,1.89482720412e-05,0.0697674418605
114,lighter_TRA.rep.seq_sim_rl_100_cov_8_1_18.corrected.fastq.gz,run.lighter.sh,18,0,5524,35728,0,0,0,0,41252,0,4042474,82726,0,0,0,0,0,4125200,Lighter,8,100,0.0,,0.0,0.979946184427,TRA,0.0,
115,bfc_TRA.rep.seq_sim_rl_50_cov_8_1_18.corrected.fastq.gz,run.bfc.sh,18,13424,34750,46570,40,1824,2,0,96610,24439,4730469,72034,98,3458,4,0,0,4830502,Bfc,8,50,0.253324764442,0.875918425863,0.217439076218,0.984350694814,TRA,0.0,
116,pollux_TRA.rep.seq_sim_rl_75_cov_1_1_18.corrected.fastq.gz,run.pollux.sh,18,4830,1626,1009,25,322,264,12,8076,10354,592337,1825,64,840,369,19,1,605809,Pollux,1,75,0.850151900813,0.895442359249,0.750882666886,0.994854805483,TRA,3.30137056399e-05,0.0526315789474
117,lighter_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.lighter.sh,18,0,8839,15381,0,0,0,0,24220,0,1186880,24120,0,0,0,0,0,1211000,Lighter,2,50,0.0,,0.0,0.980082576383,TRA,0.0,
118,musket_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.musket.sh,18,19131,2985,1082,38,984,0,0,24220,46509,2371194,1966,87,2244,0,0,0,2422000,Musket,4,100,0.959443011862,0.953972063258,0.913151108819,0.998225846408,TRA,0.0,
119,musket_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,9288,1569,596,18,623,4,0,12098,22867,1184310,1140,43,1428,24,0,0,1209812,Musket,2,100,0.952513850127,0.940293597599,0.892031490815,0.997821975646,TRA,0.0,
120,bfc_TRA.rep.seq_sim_rl_75_cov_16_1_18.corrected.fastq.gz,run.bfc.sh,18,1871,13100,44793,1,115,0,0,59880,4191,4400884,85733,2,190,0,0,0,4491000,Bfc,16,75,0.0466060228638,0.956630906186,0.0444931275299,0.980867290136,TRA,0.0,
121,bfc_TRA.rep.seq_sim_rl_75_cov_8_1_18.corrected.fastq.gz,run.bfc.sh,18,2590,6104,19110,4,149,0,0,27957,5552,2054709,36239,8,267,0,0,0,2096775,Bfc,8,75,0.132851570912,0.954115827462,0.126462635496,0.982585637467,TRA,0.0,
122,bfc_TRA.rep.seq_sim_rl_50_cov_16_1_18.corrected.fastq.gz,run.bfc.sh,18,13345,69963,108481,37,1626,0,0,193452,25301,9476302,168229,81,2687,0,0,0,9672600,Bfc,16,50,0.130734253087,0.903994569101,0.11685010076,0.98232150611,TRA,0.0,
123,pollux_TRA.rep.seq_sim_rl_100_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,8165,1542,1435,20,527,405,7,12094,21093,1183504,2853,103,1317,657,11,1,1209539,Pollux,2,100,0.880856928088,0.914423201977,0.798421448259,0.995914969187,TRA,9.92113524244e-06,0.0909090909091
124,lighter_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.lighter.sh,18,0,7160,25208,0,0,0,0,32368,0,2379178,48422,0,0,0,0,0,2427600,Lighter,4,75,0.0,,0.0,0.980053550832,TRA,0.0,
125,pollux_TRA.rep.seq_sim_rl_100_cov_4_1_18.corrected.fastq.gz,run.pollux.sh,18,16604,2895,2730,59,1153,775,25,24216,42880,2369196,5458,210,2706,1342,31,4,2421827,Pollux,4,100,0.887086764037,0.91374019775,0.803343125491,0.995975345845,TRA,1.44518993305e-05,0.129032258065
126,musket_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.musket.sh,18,13385,8596,1544,24,671,0,0,24220,21122,1185493,2957,41,1387,0,0,0,1211000,Musket,2,50,0.87719589684,0.938380203474,0.819593836953,0.996379025599,TRA,0.0,
129,racer_TRA.rep.seq_sim_rl_100_cov_2_1_405000.corrected.fastq.gz,run.racer.sh,18,7019,1626,3095,1,266,91,33,12098,19635,1182763,4358,56,2436,922,192,1,1210363,Racer,2,50,0.818363689409,0.85395555169,0.678406201809,0.993420150335,TRA,0.000159456295343,0.00520833333333
130,racer_TRA.rep.seq_sim_rl_100_cov_4_1_405000.corrected.fastq.gz,run.racer.sh,18,10389,3087,9911,4,710,119,34,24220,32745,2368666,15709,105,4064,1266,170,3,2422728,Racer,4,50,0.67579559995,0.860013131976,0.565794361663,0.991202468295,TRA,7.14071080204e-05,0.0176470588235
131,pollux_TRA.rep.seq_sim_rl_50_cov_2_1_18.corrected.fastq.gz,run.pollux.sh,18,12269,8468,2264,39,574,562,13,24176,19900,1182614,4021,109,1552,859,15,1,1209071,Pollux,2,50,0.831905020693,0.891936712832,0.731114919945,0.994577650591,TRA,1.32333006085e-05,0.0666666666667
132,musket_TRA.rep.seq_sim_rl_75_cov_4_1_18.corrected.fastq.gz,run.musket.sh,18,23621,7034,1036,24,653,0,0,32368,46765,2377698,1620,37,1480,0,0,0,2427600,Musket,4,75,0.966518549137,0.969323245932,0.935930556991,0.998707777229,TRA,0.0,
