,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitiviy,Base Precision,Base Gain,Base Accuracy,Base TP TRIM %,Base FP TRIM %,Dataset,Trim Percent
1423,coral_TRA.rep.seq_sim_rl_100_cov_2_1_20.corrected.fastq.gz,run.coral.sh,20,537,104,22,0,0,11,0,674,1238,66093,66,0,1,12,0,0,67410,Coral,2,100,0.949386503067,0.989608313349,0.939417177914,0.998828067052,,,TRA,0.0
1424,coral_TRA.rep.seq_sim_rl_100_cov_64_1_22.corrected.fastq.gz,run.coral.sh,22,191,195,1020,0,8,9,0,1423,1677,139476,1140,0,8,9,0,0,142310,Coral,64,100,0.595314164004,0.989964580874,0.589279375222,0.99186986157,,,TRA,0.0
1425,coral_TRA.rep.seq_sim_rl_100_cov_16_1_22.corrected.fastq.gz,run.coral.sh,22,540,123,254,0,2,13,0,932,1368,91396,431,0,5,13,0,0,93213,Coral,16,100,0.760422456921,0.987012987013,0.750416898277,0.995183075322,,,TRA,0.0
1426,coral_TRA.rep.seq_sim_rl_100_cov_128_1_21.corrected.fastq.gz,run.coral.sh,21,3,8,25,0,0,36,21,72,46,5208,46,30,1268,1017,189,3,7807,Coral,128,100,0.5,0.019734019734,-24.3369565217,0.673244490005,0.015625,0.984375,TRA,0.0245933136928
1427,coral_TRA.rep.seq_sim_rl_100_cov_1_1_23.corrected.fastq.gz,run.coral.sh,23,1221,237,277,1,105,138,3,1979,3329,193736,653,3,168,221,2,1,198113,Coral,1,100,0.836012054244,0.895373856912,0.73832245103,0.994715110644,0.333333333333,0.666666666667,TRA,1.51428730068e-05
1428,fiona_TRA.rep.seq_sim_rl_100_cov_64_1_405000.corrected.fastq.gz,run.fiona.sh,22,7,25,82,25,5,0,0,144,104,14123,134,31,8,0,0,0,14400,Fiona,64,50,0.436974789916,0.928571428571,0.403361344538,0.987986111111,,,TRA,0.0
1429,coral_TRA.rep.seq_sim_rl_75_cov_4_1_21.corrected.fastq.gz,run.coral.sh,21,14767,4902,2807,5,322,1024,15,23827,29189,1750828,6523,8,455,1067,11,5,1788086,Coral,4,75,0.817344310036,0.95044120999,0.774725582437,0.995490137192,0.3125,0.6875,TRA,8.94811547096e-06
1430,fiona_TRA.rep.seq_sim_rl_75_cov_1_1_405000.corrected.fastq.gz,run.fiona.sh,21,0,419,1440,0,0,0,0,1859,0,136632,2793,0,0,0,0,0,139425,Fiona,1,50,0.0,,0.0,0.979967724583,,,TRA,0.0
1431,coral_TRA.rep.seq_sim_rl_100_cov_1_1_22.corrected.fastq.gz,run.coral.sh,22,2280,451,565,2,124,199,2,3621,5869,354676,1380,4,158,306,2,1,362396,Coral,1,100,0.809628914333,0.926732985947,0.745620085529,0.994895073056,0.333333333333,0.666666666667,TRA,8.27823706663e-06
1432,coral_TRA.rep.seq_sim_rl_100_cov_1_1_21.corrected.fastq.gz,run.coral.sh,21,648,134,130,1,36,39,0,988,1642,96797,318,2,39,69,0,0,98867,Coral,1,100,0.837755102041,0.938285714286,0.782653061224,0.995670951885,,,TRA,0.0
1433,coral_TRA.rep.seq_sim_rl_100_cov_64_1_23.corrected.fastq.gz,run.coral.sh,23,633,895,4502,6,300,63,1,6399,6426,626885,6228,6,343,69,0,1,639958,Coral,64,100,0.507823613087,0.939748464463,0.475264738423,0.989614927253,1.0,0.0,TRA,1.56260254579e-06
1434,fiona_TRA.rep.seq_sim_rl_100_cov_32_1_405000.corrected.fastq.gz,run.fiona.sh,23,9,17,31,12,3,0,0,72,69,7071,42,12,6,0,0,0,7200,Fiona,32,50,0.621621621622,0.92,0.567567567568,0.991666666667,,,TRA,0.0
1435,coral_TRA.rep.seq_sim_rl_75_cov_4_1_20.corrected.fastq.gz,run.coral.sh,20,2834,958,467,1,58,99,3,4417,5421,324706,1064,1,74,106,2,1,331375,Coral,4,75,0.835929067078,0.967862881628,0.808172706245,0.996236880383,0.333333333333,0.666666666667,TRA,9.05318747642e-06
1436,coral_TRA.rep.seq_sim_rl_100_cov_2_1_22.corrected.fastq.gz,run.coral.sh,22,529,103,16,1,1,11,0,661,1222,64827,48,1,2,12,0,0,66112,Coral,2,100,0.962204724409,0.988673139159,0.951181102362,0.999047071636,,,TRA,0.0
1437,coral_TRA.rep.seq_sim_rl_100_cov_4_1_20.corrected.fastq.gz,run.coral.sh,20,990,168,48,0,22,12,2,1240,2282,121546,147,0,24,12,1,1,124013,Coral,4,100,0.939481268012,0.984469370147,0.924660354055,0.998516272619,0.5,0.5,TRA,1.61273414884e-05
1438,coral_TRA.rep.seq_sim_rl_100_cov_16_1_24.corrected.fastq.gz,run.coral.sh,24,3272,603,681,1,4,55,6,4616,8129,452369,1083,2,11,61,4,2,461661,Coral,16,100,0.882435953105,0.991220582856,0.87462006079,0.997485156793,0.333333333333,0.666666666667,TRA,1.29965494161e-05
1439,coral_TRA.rep.seq_sim_rl_100_cov_64_1_24.corrected.fastq.gz,run.coral.sh,24,1067,371,1158,3,108,24,2,2731,3519,267470,1981,3,123,25,0,2,273123,Coral,64,100,0.639818181818,0.959640032724,0.612909090909,0.992193936021,1.0,0.0,TRA,7.3227080839e-06
1440,fiona_TRA.rep.seq_sim_rl_100_cov_32_1_405000.corrected.fastq.gz,run.fiona.sh,24,12,8,12,3,1,36,27,72,62,5194,27,24,1089,1164,443,10,8013,Fiona,32,50,0.696629213483,0.0267818574514,-24.6179775281,0.656753717356,0.0220750551876,0.977924944812,TRA,0.0565331336578
1441,coral_TRA.rep.seq_sim_rl_100_cov_1_1_24.corrected.fastq.gz,run.coral.sh,24,3631,689,744,5,254,283,4,5606,9398,548832,1839,12,496,671,4,1,561253,Coral,1,100,0.836344219988,0.889540937056,0.732490878348,0.994615609388,0.2,0.8,TRA,8.90863835026e-06
1442,coral_TRA.rep.seq_sim_rl_100_cov_4_1_21.corrected.fastq.gz,run.coral.sh,21,5938,956,757,5,380,883,17,8919,15798,873276,2114,11,667,963,16,4,892849,Coral,4,100,0.881978561858,0.906472343356,0.79097811523,0.995776422559,0.2,0.8,TRA,2.24002042899e-05
1443,fiona_TRA.rep.seq_sim_rl_50_cov_8_1_405000.corrected.fastq.gz,run.fiona.sh,22,3104,4261,3868,203,186,33,21,11655,6985,570535,4553,237,390,54,24,0,582778,Fiona,8,50,0.605390882302,0.940234217257,0.56690934304,0.990977696481,0.0,1.0,TRA,4.11820624663e-05
