,EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases,Tool,Coverage,Length,Base Sensitivity,Base Precision,Base Gain,Base Accuracy,Dataset,Trim Percent,Trim Effeciency
1184,reckoner_t1_wgsim_rl__cov_8.1_32.corrected.fastq.gz,run.reckoner.sh,32,341,27322,17397,2,1412,226,117,46700,905,4640246,22178,55,5863,1201,308,2,4670758,Reckoner,8X,100,0.0392063423299,0.113565064625,-0.266819737469,0.993661625655,T1,6.63703835652e-05,0.00649350649351
1185,reckoner_t1_wgsim_rl__cov_32.1_19.corrected.fastq.gz,run.reckoner.sh,19,15326,28260,2312,38,595,169,54,46700,19818,4641469,3497,82,4380,1319,198,3,4670766,Reckoner,32X,100,0.850010722711,0.776658698123,0.605575809565,0.997971209415,T1,4.30336266043e-05,0.0151515151515
1186,reckoner_t1_wgsim_rl__cov_32.1_21.corrected.fastq.gz,run.reckoner.sh,21,15499,28259,2265,31,506,140,50,46700,20050,4642427,3285,65,3456,1217,231,0,4670731,Reckoner,32X,100,0.859224341118,0.810985721798,0.658967216627,0.998232824798,T1,4.94569265496e-05,0.0
1187,sga_t1_wgsim_rl__cov_1.1_20.corrected.fastq.gz,run.sga.sh,20,119,27162,17933,1,1471,14,6,46700,595,4641947,22918,18,4497,39,11,0,4670025,Sga,1X,100,0.0253051503424,0.115961800819,-0.167609407562,0.994115020798,T1,2.35544777598e-06,0.0
1188,sga_t1_wgsim_rl__cov_2.1_20.corrected.fastq.gz,run.sga.sh,20,240,27222,17585,6,1625,22,7,46700,766,4641925,22530,29,4724,45,8,0,4670027,Sga,2X,100,0.0328811813187,0.138392050587,-0.171832074176,0.994146500652,T1,1.71305219434e-06,0.0
1189,sga_t1_wgsim_rl__cov_2.1_19.corrected.fastq.gz,run.sga.sh,19,255,27138,17509,3,1775,20,7,46700,799,4641389,22492,34,5264,36,9,0,4670023,Sga,2X,100,0.0343050963892,0.1310050828,-0.193250611824,0.994039643916,T1,1.92718536932e-06,0.0
1190,sga_t1_wgsim_rl__cov_8.1_16.corrected.fastq.gz,run.sga.sh,16,1995,23841,13415,58,7277,114,46,46700,3560,4618487,19267,313,28121,404,101,0,4670253,Sga,8X,100,0.155955666535,0.110955275051,-1.09366101546,0.989678075256,T1,2.16262373794e-05,0.0
1191,pollux_t1_wgsim_rl__cov_8.1_12.corrected.fastq.gz,run.pollux.sh,12,12,27219,17732,0,862,875,28,46700,557,4634527,22485,98,11088,4187,66,0,4673008,Pollux,8X,100,0.0241732488499,0.0351819100556,-0.638746636577,0.991884456436,T1,1.41236650997e-05,0.0
1192,reckoner_t1_wgsim_rl__cov_16.1_30.corrected.fastq.gz,run.reckoner.sh,30,1372,27158,16289,8,1546,327,147,46700,2355,4637195,20937,75,8209,2008,452,2,4671233,Reckoner,16X,100,0.101107676455,0.187321030862,-0.337540786536,0.993217847715,T1,9.71906132706e-05,0.00442477876106
1193,sga_t1_wgsim_rl__cov_1.1_21.corrected.fastq.gz,run.sga.sh,21,116,27222,17963,3,1378,18,9,46700,592,4642218,22923,16,4222,44,14,0,4670029,Sga,1X,100,0.0251754199447,0.121860848086,-0.156240697427,0.994171556536,T1,2.99784005624e-06,0.0
1194,sga_t1_wgsim_rl__cov_2.1_21.corrected.fastq.gz,run.sga.sh,21,219,27261,17640,5,1550,25,11,46700,711,4642190,22585,29,4450,57,14,0,4670036,Sga,2X,100,0.030520260989,0.136259103105,-0.162946428571,0.994189552286,T1,2.99783556272e-06,0.0
1195,sga_t1_wgsim_rl__cov_8.1_12.corrected.fastq.gz,run.sga.sh,12,18,27718,17614,7,1343,0,0,46700,32,4645243,23097,11,1617,0,0,0,4670000,Sga,8X,100,0.00138354446798,0.0194057004245,-0.0685286869298,0.994705567452,T1,0.0,
1196,sga_t1_wgsim_rl__cov_4.1_19.corrected.fastq.gz,run.sga.sh,19,734,27079,16879,7,1958,43,12,46700,1363,4641144,21769,50,5612,108,18,0,4670064,Sga,4X,100,0.0589227044786,0.192432585063,-0.188353795608,0.994099224336,T1,3.85433689988e-06,0.0
1197,sga_t1_wgsim_rl__cov_1.1_22.corrected.fastq.gz,run.sga.sh,22,117,27237,17989,3,1337,17,9,46700,585,4642333,22930,16,4112,37,11,0,4670024,Sga,1X,100,0.0248777376143,0.123574144487,-0.151562832235,0.994195747174,T1,2.35544828035e-06,0.0
1198,sga_t1_wgsim_rl__cov_8.1_14.corrected.fastq.gz,run.sga.sh,14,646,20094,11263,113,14566,18,9,46700,1339,4615395,21445,356,31437,40,16,0,4670028,Sga,8X,100,0.0587693117978,0.0408032666992,-1.32277036517,0.988588076988,T1,3.42610365505e-06,0.0
1199,sga_t1_wgsim_rl__cov_8.1_18.corrected.fastq.gz,run.sga.sh,18,2395,26555,14821,21,2850,58,27,46700,3644,4638201,19398,98,8548,170,52,0,4670111,Sga,8X,100,0.158145994271,0.294774308364,-0.22020657929,0.993947467202,T1,1.1134638984e-05,0.0
1200,reckoner_t1_wgsim_rl__cov_16.1_32.corrected.fastq.gz,run.reckoner.sh,32,1254,27236,16494,10,1418,288,128,46700,2140,4638340,21165,63,7141,1914,391,1,4671155,Reckoner,16X,100,0.0918257884574,0.191156766414,-0.296717442609,0.993433314337,T1,8.3919287628e-05,0.00255754475703
