EC Filename,Wrapper Name,Kmer Size,Read - TP,Read - TN,Read - FN,Read - FN WRONG,Read - FP,Read - FP INDEL,Total Trimmed Reads,Total Reads,Base - TP,Base - TN,Base - FN,Base - FN WRONG,Base - FP,Base - FP INDEL,Base - FP TRIM,Base - TP TRIM,Total Bases
lighter_t1_wgsim_rl__cov_4.1_19.corrected.fastq.gz,run.lighter.sh,19,0,28383,18317,0,0,0,0,46700,0,4646818,23182,0,0,0,0,0,4670000
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,18,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
coral_t1_wgsim_rl__cov_32.1_23.corrected.fastq.gz,run.coral.sh,23,15408,27379,2258,5,1319,331,2,46700,20576,4644448,2808,15,2112,441,1,1,4670402
lighter_t1_wgsim_rl__cov_2.1_20.corrected.fastq.gz,run.lighter.sh,20,0,28281,18419,0,0,0,0,46700,0,4646675,23325,0,0,0,0,0,4670000
fiona_SRR1543967_raw_405000.corrected.fastq.gz,run.fiona.sh,18,3921,39174,543,97,810,2155,1,46700,7336,11098166,1000,127,5785,4198,1,0,11116613
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,19,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
fiona_SRR1543967_raw_405000.corrected.fastq.gz,run.fiona.sh,20,3921,39174,543,97,810,2155,1,46700,7336,11098166,1000,127,5785,4198,1,0,11116613
fiona_SRR1543967_raw_405000.corrected.fastq.gz,run.fiona.sh,21,3921,39174,543,97,810,2155,1,46700,7336,11098166,1000,127,5785,4198,1,0,11116613
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,28,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
lighter_t1_wgsim_rl__cov_1.1_21.corrected.fastq.gz,run.lighter.sh,21,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_8.1_18.corrected.fastq.gz,run.lighter.sh,18,0,28346,18354,0,0,0,0,46700,0,4646860,23140,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_16.1_12.corrected.fastq.gz,run.lighter.sh,12,295,25291,15400,19,5695,0,0,46700,544,4635754,22761,64,10877,0,0,0,4670000
fiona_SRR1543967_raw_405000.corrected.fastq.gz,run.fiona.sh,14,3921,39174,543,97,810,2155,1,46700,7336,11098166,1000,127,5785,4198,1,0,11116613
fiona_SRR1543967_raw_405000.corrected.fastq.gz,run.fiona.sh,19,3921,39174,543,97,810,2155,1,46700,7336,11098166,1000,127,5785,4198,1,0,11116613
lighter_t1_wgsim_rl__cov_8.1_14.corrected.fastq.gz,run.lighter.sh,14,0,28346,18354,0,0,0,0,46700,0,4646860,23140,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_1.1_22.corrected.fastq.gz,run.lighter.sh,22,0,28115,18585,0,0,0,0,46700,0,4646469,23531,0,0,0,0,0,4670000
fiona_SRR1543964_raw_405000.corrected.fastq.gz,run.fiona.sh,16,4391,36708,1490,230,1192,2689,5,46700,10485,11091182,2759,270,7479,5686,7,0,11117868
lighter_t1_wgsim_rl__cov_4.1_20.corrected.fastq.gz,run.lighter.sh,20,0,28383,18317,0,0,0,0,46700,0,4646818,23182,0,0,0,0,0,4670000
lighter_t1_wgsim_rl__cov_2.1_21.corrected.fastq.gz,run.lighter.sh,21,0,28281,18419,0,0,0,0,46700,0,4646675,23325,0,0,0,0,0,4670000
